Question,Expected Answer,Actual Answer,Category
What is Dr. Khare's full name?,Supreet Khare,That information is not available in the source documents.,Retrieval Failure / Missing Fact
From which medical college did Dr. Khare graduate?,"Armed Forces Medical College (AFMC), Pune 411040, Maharashtra, India",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What degree did Dr. Khare receive from Armed Forces Medical College?,Bachelor of Medicine and Bachelor of Surgery (MBBS),That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare receive his MBBS degree?,"May 22, 2015",That information is not available in the source documents.,Retrieval Failure / Missing Fact
Which university was AFMC affiliated to for Dr. Khare's degree?,"Maharashtra University of Health and Sciences, Nashik, India",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What professional certificate did Dr. Khare obtain from Catalyst Clinical?,Professional Certificate in Pharmacovigilance (PCPV),That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare complete his PCPV from Catalyst Clinical?,June 2016 to December 2016; awarded February 2017,There is no information about Dr. Khare completing a PCPV (Program for Continuous Professional Development) from Catalyst Clinical in any of the provided documents.,Hallucination
"What professional diploma did Dr. Khare obtain from Catalyst Clinical, New Delhi?",Professional Diploma in Clinical Research (PDCR),"There is no information provided about Dr. Supreet Khare obtaining a professional diploma from Catalyst Clinical, New Delhi in any of the retrieved documents.",Hallucination
When did Dr. Khare complete his PDCR?,April 2016 to September 2016; awarded October 2016,That information is not available in the source documents.,Retrieval Failure / Missing Fact
Where did Dr. Khare complete his Internal Medicine residency?,"University of Arizona College of Medicine – South Campus, Tucson, AZ",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What type of residency did Dr. Khare complete at the University of Arizona?,"Internal Medicine (Categorical), ACGME-Accredited",That information is not available in the source documents.,Retrieval Failure / Missing Fact
Who were Dr. Khare's supervisors during his Internal Medicine residency?,Dr. Eugene Trowers and Dr. Vijay Chandiramani,That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare's Internal Medicine residency run?,July 2016 to January 2019,That information is not available in the source documents.,Retrieval Failure / Missing Fact
Where did Dr. Khare complete his Occupational Medicine residency?,"University of Cincinnati, Cincinnati, OH",That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare's Occupational Medicine residency run?,July 2023 to July 2025,That information is not available in the source documents.,Retrieval Failure / Missing Fact
Who was Dr. Khare's supervisor during his Occupational Medicine residency?,"Victoria Wulsin, MD, DrPH",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What is Dr. Khare's current role at Lompoc Valley Medical Center?,Medical Director – Occupational and Environmental Medicine,That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare start his role at Lompoc Valley Medical Center?,2025 – Present,That information is not available in the source documents.,Retrieval Failure / Missing Fact
What is Dr. Khare's role at Signify Health Texas?,Physician,That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare start working at Signify Health Texas?,2024 – Present,Dr. Khare started working at Signify Health Texas in 2024.,Hallucination
What is Dr. Khare's role at California Medical Behavioral Health (CMBH)?,Chief Executive Officer (CEO),That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare become CEO of California Medical Behavioral Health?,October 2021 – Present,Dr. Supreet Khare became the Chief Executive Officer (CEO) of California Medical Behavioral Health in 10/2021.,Hallucination
What is Dr. Khare's role at Compendious Med Works Pvt. Ltd?,Managing Director / CEO,That information is not available in the source documents.,Retrieval Failure / Missing Fact
When did Dr. Khare join Compendious Med Works Pvt. Ltd?,December 2019 – Present,That information is not available in the source documents.,Retrieval Failure / Missing Fact
What was Dr. Khare's role at California Medical Behavioral Health in 2015–2016?,Clinical Research Coordinator,That information is not available in the source documents.,Retrieval Failure / Missing Fact
Who supervised Dr. Khare at CMBH in 2015–2016?,"Yashwant S. Chaudhari, MD",The provided documents do not contain information about who supervised Dr. Khare at CMBH in 2015-2016.,Hallucination
Where did Dr. Khare work as a physician in India between 2019–2021?,"A hospital in India (specific hospital name not stated), providing outpatient, inpatient, emergency and acute care","Dr. Khare worked as a Physician at Hospital, India between 2019–2021. He provided outpatient and inpatient care, including emergency and acute management during this period.",Hallucination
What is Dr. Khare's DEA Registration number?,FB5026542-166839,I cannot find that information in the source documents.,Retrieval Failure / Missing Fact
Is Dr. Khare ACLS certified?,"Yes, ACLS Certified (most recently issued October 11, 2021, renewal October 2, 2023)",The provided documents do not contain information about Dr. Khare's ACLS certification status.,Hallucination
In which state does Dr. Khare hold a medical license?,"Arizona (Temporary or Limited, expired June 2019)",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What pseudonym does Dr. Khare use as an author?,Dr. Sparkle,Khare S.,Hallucination
What is the title of Dr. Khare's published novel?,"""Tales of Enkanto – A Paradoxical Beginning""",That information is not available in the source documents.,Retrieval Failure / Missing Fact
"What type of novel is ""Tales of Enkanto""?","A GAMOVEL (combination of 'Game' and 'Novel'), a fiction novel",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What languages does Dr. Khare speak?,"English (Advanced), Hindi (Native), Marathi (Fair), Punjabi (Good), Spanish/Spanish Creole (Basic), Urdu (Advanced)",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What is Dr. Khare's proficiency level in English?,Advanced – speaks very accurately; native speakers can understand him but may perceive he is not a native speaker,Dr. Khare's proficiency level in English is Advanced.,Hallucination
What is Dr. Khare's proficiency level in Hindi?,Native/Functional – converses easily and accurately; highly educated native speakers may think he is native,That information is not available in the source documents.,Retrieval Failure / Missing Fact
Is Dr. Khare a member of the American College of Physicians (ACP)?,"Yes, he served as Representative for the Tucson AZ Internal Medicine Program on the ACP Council of Residents from 2017 onward",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What role did Dr. Khare hold in IFMSA-MSAI?,State President of Uttar Pradesh,That information is not available in the source documents.,Retrieval Failure / Missing Fact
What scientific journal did Dr. Khare found through MSAI?,INSPIRE – Ingenious and Novel Scientific Publication on Innovative Research and Education,That information is not available in the source documents.,Retrieval Failure / Missing Fact
What is INSPIRE journal's publishing model?,Peer-reviewed scientific journal that publishes research papers free of cost from medical students,The provided documents do not contain any information about INSPIRE journal or its publishing model.,Hallucination
Was Dr. Khare an Elsevier Student Ambassador?,"Yes, he was selected as Elsevier Student Ambassador (ESA) 2014 and subsequently as Elsevier Student Mentor for 2015–2016",That information is not available in the source documents.,Retrieval Failure / Missing Fact
What prize did Dr. Khare win as an Elsevier Student Ambassador?,First prize and an iPad in the MyPGMEE contest among all ESA 2014,That information is not available in the source documents.,Retrieval Failure / Missing Fact
"What charity did Dr. Khare volunteer with in Pune, India?","Deep Griha Society, an independent charitable organisation working to improve lives in Pune's slums","Dr. Supreet Khare volunteered with Deep Griha Society in Pune, India, where he worked as one of the field workers and conducted small lectures to educate people on various health issues.",Hallucination
